Title,Weblinks
A variation of the coagulation equation with applications in material sciences,www.doi.org/10.1016/0270-0255(85)90065-X
The problem of managing a strategic reserve,www.doi.org/10.1016/0270-0255(85)90053-3
Modelling the thermo-mechanical behavior of a carbide inclusion in a nickel superalloy including residual stress effects with a simple finite-element model,www.doi.org/10.1016/0895-7177(90)90317-G
Modelling the investment casting process: a novel approach for view factor calculations and defect prediction,www.doi.org/10.1016/0307-904X(95)90001-O
In situ formation of metal-ceramic microstructures in the NiAlO system by partial reduction reactions,www.doi.org/10.1016/0956-7151(95)90294-5
In situ metal-ceramic microstructures by partial reduction reactions in the NiAlO system and the role of ZrO<ce:inf loc=post>2</ce:inf>,www.doi.org/10.1016/0921-5093(94)06504-7
A model for dynamic embrittlement,www.doi.org/10.1016/0956-7151(94)00387-W
Dry sliding wear of NiAl,www.doi.org/10.1016/0043-1648(95)06735-3
Palliation of Inoperable Esophageal Carcinoma With the Wallstent Endoprosthesis,www.doi.org/10.1016/S0003-4975(96)00609-1
The influence of micro structural scale on the creep resistance of high volume fraction ceramic-metal composites made from aluminum oxide and niobium,www.doi.org/10.1016/0921-5093(95)10012-1
"Mechanical properties and strengthening of a Ni25Mo8Cr alloy containing Ni<ce:inf loc=post>2</ce:inf>(Mo,Cr) precipitates",www.doi.org/10.1016/S1359-6454(96)00092-4
Chapter 51 Anomalous yield behaviour of compounds with LI2 structure,www.doi.org/10.1016/S1572-4859(96)80006-4
Sensitivity analysis and nonlinear programming applied to investment casting design,www.doi.org/10.1016/S0307-904X(96)00155-2
"On the ductility of Ni<ce:inf loc=post>3</ce:inf>Al: Effects of strain rate, environment and boron",www.doi.org/10.1016/S1359-6454(96)00402-8
Microstructures and mechanical properties of Ni<ce:glyph name=sbnd></ce:glyph>MgO composites formed by displacement and partial reduction reactions,www.doi.org/10.1016/S1359-6454(97)00114-6
Heat transfer and solidification in planar-flow melt-spinning: high wheelspeeds,www.doi.org/10.1016/S0017-9310(96)00305-5
A Comment on “Hydrogen-Boron Interaction and Its Effect on the Ductility and Fracture of Ni<ce:inf loc=post>3</ce:inf>Al”,www.doi.org/10.1016/S1359-6462(97)00531-9
Size effects in materials due to microstructural and dimensional constraints: a comparative review,www.doi.org/10.1016/S1359-6454(98)00231-6
Time-resolved infrared radiometry with step heating. A review,www.doi.org/10.1016/S0035-3159(98)80046-9
Conference calendar,www.doi.org/10.1016/S1369-7021(99)80056-X
Conference calendar,www.doi.org/10.1016/S1369-7021(00)80052-8
Conference calendar,www.doi.org/10.1016/S1369-7021(00)80013-9
Metals shed weight to compete,www.doi.org/10.1016/S1369-7021(01)80212-1
The ‘science of splat’,www.doi.org/10.1016/S1369-7021(01)80244-3
Clean power from dirty coal,www.doi.org/10.1016/S1369-7021(01)80243-1
Plasma treatment for a sticky problem,www.doi.org/10.1016/S1369-7021(01)80242-X
Conference calendar,www.doi.org/10.1016/S1369-7021(01)80128-0
Conference calendar,www.doi.org/10.1016/S1369-7021(01)80214-5
Life Prediction Model for a Nickel-base Single Crystal Superalloy DD3,www.doi.org/10.1016/S1000-9361(11)60159-3
Influence of Ambient–Temperature Corrosion on the Oxidation Behavior of Al-Si Coatings,www.doi.org/10.1016/S1000-9361(11)60160-X
Microstructure and Mechanical Properties of Recycled Ni<ce:inf loc=post>3</ce:inf>Al Base Alloy IC6,www.doi.org/10.1016/S1000-9361(11)60131-3
Survival of the fittest,www.doi.org/10.1016/S1369-7021(02)00917-3
"Materials today, joining tomorrow",www.doi.org/10.1016/S1369-7021(02)00955-0
Building on historic success,www.doi.org/10.1016/S1369-7021(02)01239-7
Achieving atomic resolution,www.doi.org/10.1016/S1369-7021(02)05328-2
Constitutive Modeling of Hardening and Creep Response of a Nickel-Based Superalloy Udimet 720Li,www.doi.org/10.1016/S1000-9361(11)60182-9
The case for teaching the arts,www.doi.org/10.1016/S1369-7021(03)01224-0
Homogenization of the fluid flow and heat transfer in transpiration cooled multi-layer plates,www.doi.org/10.1016/j.cam.2003.06.011
Glass slides to DNA microarrays,www.doi.org/10.1016/S1369-7021(04)00122-1
Effect of Thermal Treatment on the Grain Growth of Nanostructured YSZ Thermal Barrier Coating Prepared by Air Plasma Spraying,www.doi.org/10.1016/S1000-9361(11)60224-0
Macrosegregation development during solidification of a multicomponent alloy with free-floating solid particles,www.doi.org/10.1016/S0307-904X(03)00121-5
Analog-Circuit Model of FGH96 Superalloy Hot Deformation Behaviors Based on Artificial Neural Network,www.doi.org/10.1016/S1000-9361(11)60288-4
Improvement on the Modeling of Rate-Dependent Plasticity and Cyclic Hardening by Bodner-Partom Model,www.doi.org/10.1016/S1000-9361(11)60287-2
Thermal barrier coating materials,www.doi.org/10.1016/S1369-7021(05)70934-2
Perspective on UK research,www.doi.org/10.1016/S1369-7021(05)70937-8
High-throughput diffusion multiples,www.doi.org/10.1016/S1369-7021(05)71122-6
"Coatings improve efficiency: The hotter the gas, the greater the turbine efficiency. But high temperatures require a thermal barrier coating to shield metal parts",www.doi.org/10.1016/S1369-7021(06)71555-3
Frontiers in the design of materials,www.doi.org/10.1016/S1369-7021(06)71745-X
Coherent thought leads to strong stuff: Mechanical properties,www.doi.org/10.1016/S1369-7021(06)71427-4
Study of Bauschinger Effect by Reverse Shearing of 70:30 Brass,www.doi.org/10.1016/S1018-3639(18)30849-3
Parametric studies of failure mechanisms in elastic EB-PVD thermal barrier coatings using FEM,www.doi.org/10.1016/j.ijsolstr.2005.07.037
The Superalloys,www.doi.org/10.1016/S1369-7021(07)70022-6
Effect of Processing and Composition on the Structure and Properties of P/M EP741NP Type Alloys,www.doi.org/10.1016/S1000-9361(07)60013-2
Oxidation Properties in CO<ce:inf loc=post>2</ce:inf> of Inconel Alloy 600 Coated by Simultaneous Aluminizing-Chromizing Process,www.doi.org/10.1016/S1000-9361(07)60020-X
Variational eigenstrain analysis of residual stresses in a welded plate,www.doi.org/10.1016/j.ijsolstr.2006.11.037
Phase-field Modeling of the Influence of Elastic Field on the Nucleation and Microstructure Evolution in Precipitation,www.doi.org/10.1016/S1000-9361(07)60014-4
Turning up the heat on austenitic steels: Metals & alloys,www.doi.org/10.1016/S1369-7021(07)70112-8
A review of in situ and/or time resolved neutron scattering,www.doi.org/10.1016/j.crhy.2007.10.002
Convergence Analysis of the Numerical Solution for Cathode Design of Aero-engine Blades in Electrochemical Machining,www.doi.org/10.1016/S1000-9361(07)60084-3
Mapping residual and internal stress in materials by neutron diffraction,www.doi.org/10.1016/j.crhy.2007.09.015
Nanoscale tomography in materials science,www.doi.org/10.1016/S1369-7021(07)70304-8
Crack interaction with microstructure,www.doi.org/10.1016/S1369-7021(07)70207-9
Morphological instability of two stressed spherical shells,www.doi.org/10.1016/j.ijsolstr.2006.09.019
Failure in notched tension bars due to high-temperature creep: Interaction between nucleation controlled cavity growth and continuum cavity growth,www.doi.org/10.1016/j.ijsolstr.2007.11.026
The first-principles study on the doping effect of Re in Ni<ce:inf loc=post>3</ce:inf>Al,www.doi.org/10.1016/j.pnsc.2008.01.029
Phase Equilibria in Nb-Si-Mo Ternary Alloys at 1 273 K and 2 073 K,www.doi.org/10.1016/S1000-9361(08)60058-8
Initiation of geometric roughening in polycrystalline metal films,www.doi.org/10.1016/j.crme.2007.11.013
Mécanismes d'usure des outils coupants en usinage à sec de l'alliage de titane aéronautique Ti–6Al–4V,www.doi.org/10.1016/j.crme.2008.07.007
Dynamic investigation of a functionally graded layered structure with a crack crossing the interface,www.doi.org/10.1016/j.ijsolstr.2007.08.015
A Quasi-equipotential Field Simulation for Preform Design of P/M Superalloy Disk,www.doi.org/10.1016/S1000-9361(08)60072-2
Creep Behaviors of FGH95 Powder Ni-Base Superalloy,www.doi.org/10.1016/S1000-9361(08)60123-5
Evolution of plasticity in notched Ni-base superalloy single crystals,www.doi.org/10.1016/j.ijsolstr.2009.04.006
Influence of inclusion on the stress intensity factors under thermomechanical loads in a PM superalloy,www.doi.org/10.1016/j.apm.2007.11.008
Introduction to an approach based on the <mml:math altimg=si1.gif display=inline overflow=scroll><mml:mrow><mml:mo>(</mml:mo><mml:mi>α</mml:mi><mml:mo>+</mml:mo><mml:mi>β</mml:mi><mml:mo>)</mml:mo></mml:mrow></mml:math> microstructure of elements of alloy Ti-6Al-4V,www.doi.org/10.1016/j.proeng.2009.06.009
"Effects of Alloying Elements Ti, Cr, Al, and Hf on β-Nb<ce:inf loc=post>5</ce:inf>Si<ce:inf loc=post>3</ce:inf> from First-principles Calculations",www.doi.org/10.1016/S1000-9361(08)60088-6
Microscopic Phase-field Simulation of Effects of Re-ageing Temperature on Precipitation of Ni-Al-Cr Alloys,www.doi.org/10.1016/S1000-9361(08)60140-5
Effects of B on the Microstructure and Oxidation Resistance of Nb-Ti-Si-based Ultrahigh-temperature Alloy,www.doi.org/10.1016/S1000-9361(08)60139-9
Growth of a short fatigue crack – A long term simulation using a dislocation technique,www.doi.org/10.1016/j.ijsolstr.2008.10.023
Grindability and Surface Integrity of Cast Nickel-based Superalloy in Creep Feed Grinding with Brazed CBN Abrasive Wheels,www.doi.org/10.1016/S1000-9361(09)60247-8
